"subject_oexp"	"pp"	"jaar"	"spreken"	"luisteren"	"lezen"	"schrijven"	"av_prof"	"oexperiment"	"spelling"	"group"
"10_1"	10	3	2	2	2	1	1.75	"1"	"-spelling"	2
"1002_1"	1002	3	2	3	3	2	2.5	"1"	"-spelling"	2
"1006_1"	1006	3	1	2	2	1	1.5	"1"	"-spelling"	2
"1007_1"	1007	2	1	3	1	1	1.5	"1"	"-spelling"	2
"12_1"	12	3	1	2	2	2	1.75	"1"	"-spelling"	2
"14_1"	14	5	2	3	3	1	2.25	"1"	"-spelling"	2
"16_1"	16	2	1	2	2	1	1.5	"1"	"-spelling"	2
"20_1"	20	3	2	4	4	2	3	"1"	"-spelling"	2
"22_1"	22	2	1	1	1	1	1	"1"	"-spelling"	2
"24_1"	24	3	1	2	2	1	1.5	"1"	"-spelling"	2
"250_1"	250	3	2	2	2	1	1.75	"1"	"-spelling"	2
"252_1"	252	3	2	2	3	3	2.5	"1"	"-spelling"	2
"254_1"	254	2	1	2	2	1	1.5	"1"	"-spelling"	2
"256_1"	256	3	1	1	2	1	1.25	"1"	"-spelling"	2
"26_1"	26	3	4	2	2	1	2.25	"1"	"-spelling"	2
"28_1"	28	5	1	2	2	1	1.5	"1"	"-spelling"	2
"30_1"	30	3	1	1	2	1	1.25	"1"	"-spelling"	2
"32_1"	32	3	2	2	3	1	2	"1"	"-spelling"	2
"34_1"	34	3	1	1	1	1	1	"1"	"-spelling"	2
"36_1"	36	3	1	1	2	1	1.25	"1"	"-spelling"	2
"40_1"	40	3	4	3	3	2	3	"1"	"-spelling"	2
"42_1"	42	6	2	2	4	2	2.5	"1"	"-spelling"	2
"44_1"	44	4	2	3	3	1	2.25	"1"	"-spelling"	2
"46_1"	46	2	4	2	3	3	3	"1"	"-spelling"	2
"48_1"	48	3	4	2	3	4	3.25	"1"	"-spelling"	2
"6_1"	6	3	2	3	3	2	2.5	"1"	"-spelling"	2
"8_1"	8	2	2	4	2	2	2.5	"1"	"-spelling"	2
"10_2"	10	2	2	3	2	1	2	"2"	"+spelling"	2
"12_2"	12	2	3	4	3	2	3	"2"	"+spelling"	2
"14_2"	14	3	1	4	4	2	2.75	"2"	"+spelling"	2
"150_2"	150	3	2	3	3	1	2.25	"2"	"+spelling"	2
"152_2"	152	3	1	1	2	1	1.25	"2"	"+spelling"	2
"154_2"	154	3	2	2	4	3	2.75	"2"	"+spelling"	2
"156_2"	156	2	1	1	2	1	1.25	"2"	"+spelling"	2
"16_2"	16	3	2	3	3	2	2.5	"2"	"+spelling"	2
"18_2"	18	3	2	3	2	1	2	"2"	"+spelling"	2
"2_2"	2	2	1	1	1	1	1	"2"	"+spelling"	2
"20_2"	20	3	1	2	2	1	1.5	"2"	"+spelling"	2
"2002_2"	2002	3	1	2	3	2	2	"2"	"+spelling"	2
"2006_2"	2006	3	1	1	2	2	1.5	"2"	"+spelling"	2
"2008_2"	2008	3.064814815	1.796296296	2.240740741	2.574074074	1.722222222	2.083333333	"2"	"+spelling"	2
"22_2"	22	2	1	2	2	2	1.75	"2"	"+spelling"	2
"24_2"	24	3	1	2	3	2	2	"2"	"+spelling"	2
"26_2"	26	3	4	4	4	3	3.75	"2"	"+spelling"	2
"28_2"	28	1	2	1	2	2	1.75	"2"	"+spelling"	2
"30_2"	30	3	2	3	4	2	2.75	"2"	"+spelling"	2
"32_2"	32	3	2	3	4	1	2.5	"2"	"+spelling"	2
"34_2"	34	5	1	1	2	1	1.25	"2"	"+spelling"	2
"36_2"	36	6	3	4	4	3	3.5	"2"	"+spelling"	2
"38_2"	38	5	2	3	5	5	3.75	"2"	"+spelling"	2
"4_2"	4	2	2	3	2	2	2.25	"2"	"+spelling"	2
"42_2"	42	6	1	2	2	2	1.75	"2"	"+spelling"	2
"6_2"	6	4	1	2	2	1	1.5	"2"	"+spelling"	2
"8_2"	8	3	1	1	1	1	1	"2"	"+spelling"	2
