"session"	"list"	"group"	"subject"	"age"	"sex"	"hand"	"assist"	"trial"	"file"	"stimulus"	"is_target"	"is_word"	"targettype"	"red"	"is_schwa"	"duration"	"rt"	"rt_end"	"response"	"correctness"	"oexperiment"	"spelling"	"subject_oexp"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	1	"f66_2_p2_1_mono.wav"	"le d'main"	"no"	"yes"	"filler"	"r"	"yes"	671	1577	906	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	2	"n75_0_p2_1_mono.wav"	"le fège"	"no"	"no"	"filler"	NA	"no"	882	1778	896	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	3	"f34_0_p1_1_mono.wav"	"le silence"	"no"	"yes"	"filler"	NA	"no"	931	1630	699	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	4	"f72_1_p1_1_mono.wav"	"la revanche"	"no"	"yes"	"filler"	"u"	"yes"	900	1428	528	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	5	"n29_0_p2_1_mono.wav"	"le choint"	"no"	"no"	"filler"	NA	"no"	721	1272	551	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	6	"f67_1_p3_1_mono.wav"	"le refuge"	"no"	"yes"	"filler"	"u"	"yes"	888	2573	1685	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	7	"f32_0_p4_1_mono.wav"	"le moment"	"no"	"yes"	"filler"	NA	"no"	534	1279	745	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	8	"n73_0_p1_1_mono.wav"	"le buveau"	"no"	"no"	"filler"	NA	"no"	615	1164	549	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	9	"n03_1_p1_1_mono.wav"	"la mequisse"	"no"	"no"	"filler"	"u"	"yes"	908	1388	480	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	10	"f50_0_p2_1_mono.wav"	"le café"	"no"	"yes"	"filler"	NA	"no"	827	1617	790	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	11	"f30_0_p4_1_mono.wav"	"le garçon"	"no"	"yes"	"filler"	NA	"no"	615	1171	556	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	12	"n58_0_p1_1_mono.wav"	"la siture"	"no"	"no"	"filler"	NA	"no"	885	1980	1095	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	13	"n22_2_p3_1_mono.wav"	"le r'logue"	"no"	"no"	"filler"	"r"	"yes"	818	1587	769	1	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	14	"n74_0_p1_1_mono.wav"	"le camont"	"no"	"no"	"filler"	NA	"no"	665	1225	560	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	15	"f61_1_p3_1_mono.wav"	"le semi"	"no"	"yes"	"filler"	"u"	"yes"	716	1299	583	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	16	"n31_0_p1_1_mono.wav"	"l'annue"	"no"	"no"	"filler"	NA	"no"	692	1237	545	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	17	"n01_2_p1_1_mono.wav"	"la b'rasse"	"no"	"no"	"filler"	"r"	"yes"	889	1781	892	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	18	"f62_1_p1_1_mono.wav"	"le ressort"	"no"	"yes"	"filler"	"u"	"yes"	881	1430	549	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	19	"n96_1_p2_1_mono.wav"	"la refare"	"no"	"no"	"filler"	"u"	"yes"	986	1794	808	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	20	"n70_0_p1_1_mono.wav"	"la nale"	"no"	"no"	"filler"	NA	"no"	727	1456	729	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	21	"f04_0_p2_1_mono.wav"	"la soeur"	"no"	"yes"	"filler"	NA	"no"	790	1661	871	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	22	"n89_1_p3_1_mono.wav"	"le rebil"	"no"	"no"	"filler"	"u"	"yes"	912	1234	322	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	23	"n60_0_p1_1_mono.wav"	"le tinge"	"no"	"no"	"filler"	NA	"no"	954	1856	902	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	24	"t22_1_p4_2_mono.wav"	"le renard"	"yes"	"yes"	"match"	"u"	"yes"	935	1326	391	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	25	"n91_2_p3_1_mono.wav"	"le r'lide"	"no"	"no"	"filler"	"r"	"yes"	861	1859	998	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	26	"f71_2_p1_1_mono.wav"	"le r'cord"	"no"	"yes"	"filler"	"r"	"yes"	866	1878	1012	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	27	"f03_0_p4_1_mono.wav"	"la nuit"	"no"	"yes"	"filler"	NA	"no"	735	1711	976	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	28	"n05_1_p4_1_mono.wav"	"le gegnoble"	"no"	"no"	"filler"	"u"	"yes"	987	1766	779	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	29	"n49_0_p2_1_mono.wav"	"la questier"	"no"	"no"	"filler"	NA	"no"	963	1708	745	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	30	"n27_0_p2_1_mono.wav"	"la tuit"	"no"	"no"	"filler"	NA	"no"	916	1464	548	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	31	"n39_0_p2_1_mono.wav"	"le grat"	"no"	"no"	"filler"	NA	"no"	621	1391	770	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	32	"f19_0_p2_1_mono.wav"	"l'idée"	"no"	"yes"	"filler"	NA	"no"	796	1549	753	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	33	"n02_2_p2_1_mono.wav"	"la l'druche"	"no"	"no"	"filler"	"r"	"yes"	869	1512	643	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	34	"f41_0_p4_1_mono.wav"	"la carte"	"no"	"yes"	"filler"	NA	"no"	836	1228	392	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	35	"f47_0_p2_1_mono.wav"	"la route"	"no"	"yes"	"filler"	NA	"no"	797	988	191	1	"yes"	"1"	"-spelling"	"9_1"
