set	Correct	Subject	SessionTime	Block	Response.ACC	Response.RESP	Response.RT	Stimulus	group	p_universally	p_french	p_dutch	r
t01	la belette	36	13:25:02	22	0	le	3987	de wezel	2	L	L	L	no
t01	la belette	38	15:14:53	22	0	le belette	5541	de wezel	2	L	L	L	no
t01	la belette	5	13:15:07	22	0	le be{.}{.}{.}	4360	de wezel	1	L	L	L	no
t01	la belette	19	11:12:43	22	0	la ferette	6001	de wezel	1	L	L	L	no
t01	la belette	8	12:41:56	22	0		2630	de wezel	2	L	L	L	no
t01	la belette	23	10:46:39	22	0	pas	4298	de wezel	1	L	L	L	no
t01	la belette	7	13:22:54	22	0	la meneau	26263	de wezel	1	L	L	L	no
t01	la belette	37	15:42:46	22	0	le p	16575	de wezel	1	L	L	L	no
t01	la belette	6	11:47:48	22	0	le laleen	6984	de wezel	2	L	L	L	no
t01	la belette	20	16:51:09	22	0	le lebevrette	14503	de wezel	2	L	L	L	no
t01	la belette	29	10:16:37	22	0	la bedaine	9049	de wezel	1	L	L	L	no
t01	la belette	2	13:48:02	22	0	la semousse	30499	de wezel	2	L	L	L	no
t01	la belette	24	11:12:07	22	1	la belette	7562	de wezel	2	L	L	L	no
t01	la belette	4	12:17:55	22	0	LE REQUIN	6102	de wezel	2	L	L	L	no
t01	la belette	33	12:26:45	22	1	la belette	1327	de wezel	1	L	L	L	no
t01	la belette	35	12:12:35	22	1	la belette	3710	de wezel	1	L	L	L	no
t01	la belette	34	14:47:38	22	0	le chenille	6426	de wezel	2	L	L	L	no
t01	la belette	21	10:18:59	22	0	La repette	4587	de wezel	1	L	L	L	no
t01	la belette	39	13:14:46	22	0	le balette	5405	de wezel	1	L	L	L	no
t01	la belette	30	10:46:01	22	0		12589	de wezel	2	L	L	L	no
t01	la belette	11	9:23:20	22	0	la balette	10362	de wezel	1	L	L	L	no
t01	la belette	151	10:19:13	22	1	la belette	8255	de wezel	1	L	L	L	no
t01	la belette	150	15:45:36	22	0	pas	5874	de wezel	2	L	L	L	no
t01	la belette	28	12:43:39	22	0	la belet	23123	de wezel	2	L	L	L	no
t01	la belette	42	14:23:45	22	1	la belette	12578	de wezel	2	L	L	L	no
t01	la belette	32	10:15:52	22	0	la bardette	9938	de wezel	2	L	L	L	no
t01	la belette	41	9:42:21	22	1	la belette	4331	de wezel	1	L	L	L	no
t01	la belette	31	10:16:49	22	0	le belet	7259	de wezel	1	L	L	L	no
t01	la belette	26	14:24:22	22	0	la wesse	20164	de wezel	2	L	L	L	no
t01	la belette	12	10:15:38	22	0	{.}	9333	de wezel	2	L	L	L	no
t01	la belette	152	9:46:58	22	0	le remisse	4435	de wezel	2	L	L	L	no
t01	la belette	25	9:23:33	22	0	la balette	2661	de wezel	1	L	L	L	no
t01	la belette	16	10:16:26	22	0	le	6075	de wezel	2	L	L	L	no
t01	la belette	14	11:56:44	22	1	la belette	4613	de wezel	2	L	L	L	no
t01	la belette	154	16:20:13	22	0	le belette	7077	de wezel	2	L	L	L	no
t01	la belette	15	14:49:18	22	0	le semille	3966	de wezel	1	L	L	L	no
t01	la belette	155	13:11:29	22	0	 la bullite	3670	de wezel	1	L	L	L	no
t01	la belette	153	9:15:18	22	0	le benet	17572	de wezel	1	L	L	L	no
