set	Correct	Subject	SessionTime	Block	Response.ACC	Response.RESP	Response.RT	Stimulus	group	p_universally	p_french	p_dutch	r
t01	la belette	28	12:43:39	22	0	la belet	23123	de wezel	2	L	L	L	no
t01	la belette	24	11:12:07	22	1	la belette	7562	de wezel	2	L	L	L	no
t01	la belette	30	10:46:01	22	0		12589	de wezel	2	L	L	L	no
t01	la belette	36	13:25:02	22	0	le	3987	de wezel	2	L	L	L	no
t01	la belette	9	9:19:18	22	1	la belette	2786	de wezel	1	L	L	L	no
t01	la belette	18	9:14:27	22	1	la belette	4640	de wezel	2	L	L	L	no
t01	la belette	27	9:12:11	22	0	la bellouse	13703	de wezel	1	L	L	L	no
t01	la belette	14	11:56:44	22	1	la belette	4613	de wezel	2	L	L	L	no
t01	la belette	23	10:46:39	22	0	pas	4298	de wezel	1	L	L	L	no
t01	la belette	33	12:26:45	22	1	la belette	1327	de wezel	1	L	L	L	no
t01	la belette	10	16:44:14	22	0	le retart	2034	de wezel	2	L	L	L	no
t01	la belette	2	13:48:02	22	0	la semousse	30499	de wezel	2	L	L	L	no
t01	la belette	22	14:14:35	22	0	{?}	4989	de wezel	2	L	L	L	no
t01	la belette	15	14:49:18	22	0	le semille	3966	de wezel	1	L	L	L	no
t01	la belette	32	10:15:52	22	0	la bardette	9938	de wezel	2	L	L	L	no
t01	la belette	16	10:16:26	22	0	le	6075	de wezel	2	L	L	L	no
t01	la belette	34	14:47:38	22	0	le chenille	6426	de wezel	2	L	L	L	no
t01	la belette	13	11:13:58	22	0	la fenille	10492	de wezel	1	L	L	L	no
t01	la belette	42	14:23:45	22	1	la belette	12578	de wezel	1	L	L	L	no
t01	la belette	3	9:16:47	22	0	{?}	1957	de wezel	1	L	L	L	no
t01	la belette	7	13:22:54	22	0	la meneau	26263	de wezel	1	L	L	L	no
t01	la belette	29	10:16:37	22	0	la bedaine	9049	de wezel	1	L	L	L	no
t01	la belette	41	9:42:21	22	1	la belette	4331	de wezel	1	L	L	L	no
t01	la belette	25	9:23:33	22	0	la balette	2661	de wezel	1	L	L	L	no
t01	la belette	5	13:15:07	22	0	le be{.}{.}{.}	4360	de wezel	1	L	L	L	no
t01	la belette	8	12:41:56	22	0		2630	de wezel	2	L	L	L	no
t01	la belette	26	14:24:22	22	0	la wesse	20164	de wezel	2	L	L	L	no
t01	la belette	20	16:51:09	22	0	le lebevrette	14503	de wezel	2	L	L	L	no
t01	la belette	21	10:18:59	22	0	La repette	4587	de wezel	1	L	L	L	no
t01	la belette	35	12:12:35	22	1	la belette	3710	de wezel	1	L	L	L	no
t01	la belette	12	10:15:38	22	0	{.}	9333	de wezel	2	L	L	L	no
t01	la belette	6	11:47:48	22	0	le laleen	6984	de wezel	2	L	L	L	no
t01	la belette	11	9:23:20	22	0	la balette	10362	de wezel	1	L	L	L	no
t01	la belette	17	13:48:17	22	1	la belette	4885	de wezel	1	L	L	L	no
t02	la levrette	36	13:25:02	6	1	la levrette	6784	de windhond	2	I	I	I	no
t02	la levrette	34	14:47:38	6	0	le cheni	12079	de windhond	2	I	I	I	no
t02	la levrette	3	9:16:47	6	0	la luvrette	3033	de windhond	1	I	I	I	no
t02	la levrette	10	16:44:14	6	0	la frette	2362	de windhond	2	I	I	I	no
t02	la levrette	12	10:15:38	6	0	le fenette	4050	de windhond	2	I	I	I	no
t02	la levrette	23	10:46:39	6	1	la levrette	4300	de windhond	1	I	I	I	no
t02	la levrette	8	12:41:56	6	0	le vrette	8928	de windhond	2	I	I	I	no
t02	la levrette	11	9:23:20	6	0	la chevret	14999	de windhond	1	I	I	I	no
t02	la levrette	24	11:12:07	6	1	la levrette	2331	de windhond	2	I	I	I	no
t02	la levrette	27	9:12:11	6	1	la levrette	8300	de windhond	1	I	I	I	no
t02	la levrette	18	9:14:27	6	0	la blette	9703	de windhond	2	I	I	I	no
t02	la levrette	17	13:48:17	6	1	la levrette	11745	de windhond	1	I	I	I	no
t02	la levrette	33	12:26:45	6	1	la levrette	3304	de windhond	1	I	I	I	no
t02	la levrette	14	11:56:44	6	0	le levrette	2487	de windhond	2	I	I	I	no
t02	la levrette	6	11:47:48	6	0	le farata	10083	de windhond	2	I	I	I	no
t02	la levrette	7	13:22:54	6	1	la levrette	5059	de windhond	1	I	I	I	no
t02	la levrette	22	14:14:35	6	0	{?}	1116	de windhond	2	I	I	I	no
t02	la levrette	13	11:13:58	6	0	le	9094	de windhond	1	I	I	I	no
t02	la levrette	29	10:16:37	6	1	la levrette	5793	de windhond	1	I	I	I	no
t02	la levrette	32	10:15:52	6	0	le lavette	6225	de windhond	2	I	I	I	no
t02	la levrette	2	13:48:02	6	1	la levrette	4734	de windhond	2	I	I	I	no
t02	la levrette	20	16:51:09	6	1	la levrette	7728	de windhond	2	I	I	I	no
t02	la levrette	42	14:23:45	6	1	la levrette	5340	de windhond	1	I	I	I	no
t02	la levrette	5	13:15:07	6	0	le heuvre{.}{.}{.}	23320	de windhond	1	I	I	I	no
t02	la levrette	16	10:16:26	6	1	la levrette	4789	de windhond	2	I	I	I	no
t02	la levrette	35	12:12:35	6	0	le levrage	6915	de windhond	1	I	I	I	no
t02	la levrette	26	14:24:22	6	0	le chien	13426	de windhond	2	I	I	I	no
t02	la levrette	15	14:49:18	6	0	de trequin	7704	de windhond	1	I	I	I	no
t02	la levrette	28	12:43:39	6	1	la levrette	22745	de windhond	2	I	I	I	no
t02	la levrette	21	10:18:59	6	0	Le repette	7998	de windhond	1	I	I	I	no
t02	la levrette	25	9:23:33	6	0	le rechien	5041	de windhond	1	I	I	I	no
t02	la levrette	30	10:46:01	6	0	la sevrege	12734	de windhond	2	I	I	I	no
t02	la levrette	41	9:42:21	6	0	la levette	4938	de windhond	1	I	I	I	no
t02	la levrette	9	9:19:18	6	0	la secout	3979	de windhond	1	I	I	I	no
t03	la menotte	22	14:14:35	11	0	la remoulle	9749	het handje	2	I	I	I	no
t03	la menotte	32	10:15:52	11	0	le menotte	4665	het handje	2	I	I	I	no
t03	la menotte	11	9:23:20	11	0	la {?}	25326	het handje	1	I	I	I	no
t03	la menotte	18	9:14:27	11	0	la manotte	4079	het handje	2	I	I	I	no
t03	la menotte	23	10:46:39	11	0	la moulette	6471	het handje	1	I	I	I	no
t03	la menotte	30	10:46:01	11	0	geen idee	16174	het handje	2	I	I	I	no
t03	la menotte	27	9:12:11	11	0	le menand	15821	het handje	1	I	I	I	no
t03	la menotte	8	12:41:56	11	0	la mounette	9143	het handje	2	I	I	I	no
t03	la menotte	14	11:56:44	11	0	le menot	23407	het handje	2	I	I	I	no
t03	la menotte	10	16:44:14	11	0	le piret	2240	het handje	2	I	I	I	no
t03	la menotte	21	10:18:59	11	0	Le m nog wat	9380	het handje	1	I	I	I	no
t03	la menotte	7	13:22:54	11	0	la meneau	20610	het handje	1	I	I	I	no
t03	la menotte	28	12:43:39	11	0	le menotte	4387	het handje	2	I	I	I	no
t03	la menotte	34	14:47:38	11	0	la menoit	32557	het handje	2	I	I	I	no
t03	la menotte	16	10:16:26	11	1	la menotte	1587	het handje	2	I	I	I	no
t03	la menotte	5	13:15:07	11	0	le menotte	2771	het handje	1	I	I	I	no
t03	la menotte	17	13:48:17	11	1	la menotte	2652	het handje	1	I	I	I	no
t03	la menotte	13	11:13:58	11	1	la menotte	5020	het handje	1	I	I	I	no
t03	la menotte	3	9:16:47	11	0	le mounette	2615	het handje	1	I	I	I	no
t03	la menotte	24	11:12:07	11	0	le menotte	8792	het handje	2	I	I	I	no
t03	la menotte	42	14:23:45	11	1	la menotte	8845	het handje	1	I	I	I	no
t03	la menotte	9	9:19:18	11	0	le menotte	5047	het handje	1	I	I	I	no
t03	la menotte	33	12:26:45	11	1	la menotte	1553	het handje	1	I	I	I	no
t03	la menotte	36	13:25:02	11	1	la menotte	6497	het handje	2	I	I	I	no
t03	la menotte	2	13:48:02	11	0	le menaris	28885	het handje	2	I	I	I	no
t03	la menotte	25	9:23:33	11	0	le main	6815	het handje	1	I	I	I	no
t03	la menotte	6	11:47:48	11	0	la mamain	3344	het handje	2	I	I	I	no
t03	la menotte	35	12:12:35	11	1	la menotte	4963	het handje	1	I	I	I	no
t03	la menotte	20	16:51:09	11	0	le manotte	17154	het handje	2	I	I	I	no
t03	la menotte	15	14:49:18	11	0	le maneute	7202	het handje	1	I	I	I	no
t03	la menotte	12	10:15:38	11	0	le menOtte	4869	het handje	2	I	I	I	no
t03	la menotte	29	10:16:37	11	1	la menotte	2589	het handje	1	I	I	I	no
t03	la menotte	41	9:42:21	11	1	la menotte	6524	het handje	1	I	I	I	no
t03	la menotte	26	14:24:22	11	1	la menotte	3220	het handje	2	I	I	I	no
t05	le genievre	14	11:56:44	17	0	le jenievre	5073	de jeneverbes	2	L	I	I	no
t05	le genievre	11	9:23:20	17	0	la jEnevresse	52578	de jeneverbes	1	L	I	I	no
t05	le genievre	23	10:46:39	17	0	la {.}{.}	15591	de jeneverbes	1	L	I	I	no
t05	le genievre	34	14:47:38	17	0	le jenEvre	6687	de jeneverbes	2	L	I	I	no
t05	le genievre	33	12:26:45	17	0	la genievre	3513	de jeneverbes	1	L	I	I	no
t05	le genievre	2	13:48:02	17	0	la genevi{CAPSLOCK}E{CAPSLOCK}re	8024	de jeneverbes	2	L	I	I	no
t05	le genievre	36	13:25:02	17	0	la jenebres	8507	de jeneverbes	2	L	I	I	no
t05	le genievre	42	14:23:45	17	0	la geniEvre	5337	de jeneverbes	1	L	I	I	no
t05	le genievre	41	9:42:21	17	0	la geniEvre	5872	de jeneverbes	1	L	I	I	no
