"set"	"subject"	"subject_set"	"session"	"list"	"group"	"age"	"sex"	"hand"	"assist"	"trial"	"file"	"stimulus"	"is_target"	"is_word"	"targettype"	"red"	"is_schwa"	"duration"	"rt"	"rt_end"	"response"	"correctness"	"log_rt"	"preceding_rt"	"log_preceding_rt"	"voctest_correctness"	"jaar"	"spreken"	"luisteren"	"lezen"	"schrijven"	"av_prof"	"lextale.scores"	"p_universally"	"p_french"	"p_dutch"	"r"
"t01"	7	"7 t01"	1	"B2"	"1"	19	"female"	"right"	"Other"	23	"t01_2_p4_2_mono.wav"	"la b'lette"	"yes"	"yes"	"mismatch"	"r"	"yes"	879	1371	492	5	"yes"	7.22329567956231	1888	7.54327334670545	"correct"	3	1	1	1	1	1	-6	"L"	"L"	"L"	"no"
"t01"	13	"13 t01"	1	"D1"	"1"	21	"male"	"right"	"Nadia"	142	"t01_1_p2_2_mono.wav"	"la belette"	"yes"	"yes"	"match"	"u"	"yes"	930	1157	227	5	"yes"	7.05358572719368	1751	7.46794233228585	"correct"	3	3	3	4	2	3	3	"L"	"L"	"L"	"no"
"t01"	36	"36 t01"	1	"C2"	"2"	21	"male"	"right"	"Other"	63	"t01_1_p2_2_mono.wav"	"la belette"	"yes"	"yes"	"mismatch"	"u"	"yes"	930	1824	894	5	"yes"	7.50878717063428	2133	7.66528471847135	"correct"	3	2	3	4	2	2.75	-12	"L"	"L"	"L"	"no"
"t01"	41	"41 t01"	1	"D1"	"1"	19	"male"	"right"	"Ilse"	142	"t01_1_p2_2_mono.wav"	"la belette"	"yes"	"yes"	"match"	"u"	"yes"	930	1108	178	5	"yes"	7.01031186730723	1412	7.25276241805319	"wrong"	3	3	3	3	2	2.75	-6	"L"	"L"	"L"	"no"
"t01"	35	"35 t01"	1	"C2"	"1"	20	"male"	"left"	"Other"	63	"t01_1_p2_2_mono.wav"	"la belette"	"yes"	"yes"	"match"	"u"	"yes"	930	1294	364	1	"yes"	7.16549347506085	1193	7.08422642209792	"correct"	3	2	2	2	1	1.75	4	"L"	"L"	"L"	"no"
"t01"	23	"23 t01"	1	"B2"	"1"	23	"female"	"right"	"Ferdy"	23	"t01_2_p4_2_mono.wav"	"la b'lette"	"yes"	"yes"	"mismatch"	"r"	"yes"	879	1559	680	5	"yes"	7.35179986905778	1597	7.37588214821501	"correct"	3	3	2	2	1	2	NA	"L"	"L"	"L"	"no"
"t01"	26	"26 t01"	1	"C1"	"2"	23	"female"	"right"	"Other"	63	"t01_2_p4_2_mono.wav"	"la b'lette"	"yes"	"yes"	"match"	"r"	"yes"	879	1650	771	5	"yes"	7.40853056689463	1406	7.24850407237061	"correct"	3	1	2	2	1	1.5	-3	"L"	"L"	"L"	"no"
"t01"	32	"32 t01"	1	"D2"	"2"	18	"male"	"right"	"Other"	142	"t01_2_p4_2_mono.wav"	"la b'lette"	"yes"	"yes"	"match"	"r"	"yes"	879	2394	1515	5	"yes"	7.78072088611792	3993	8.29229810706322	"correct"	3	1	1	1	1	1	-4	"L"	"L"	"L"	"no"
"t01"	9	"9 t01"	1	"C1"	"1"	18	"female"	"right"	"Other"	63	"t01_2_p4_2_mono.wav"	"la b'lette"	"yes"	"yes"	"mismatch"	"r"	"yes"	879	1592	713	5	"yes"	7.37274636640433	1808	7.49997654095212	"wrong"	3	4	3	4	2	3.25	-3	"L"	"L"	"L"	"no"
"t01"	1	"1 t01"	1	"A1"	"1"	22	"female"	"right"	"Other"	116	"t01_2_p4_2_mono.wav"	"la b'lette"	"yes"	"yes"	"mismatch"	"r"	"yes"	879	1150	271	5	"yes"	7.0475172213573	910	6.8134445995109	"correct"	3	1	2	2	1	1.5	-7	"L"	"L"	"L"	"no"
"t01"	30	"30 t01"	1	"D1"	"2"	18	"female"	"right"	"Nadia"	142	"t01_1_p2_2_mono.wav"	"la belette"	"yes"	"yes"	"mismatch"	"u"	"yes"	930	1275	345	5	"yes"	7.15070145759253	1013	6.92067150424868	"wrong"	3	1	2	2	1	1.5	1	"L"	"L"	"L"	"no"
"t01"	5	"5 t01"	1	"B1"	"1"	20	"female"	"right"	"Other"	23	"t01_1_p2_2_mono.wav"	"la belette"	"yes"	"yes"	"match"	"u"	"yes"	930	1115	185	5	"yes"	7.01660968389422	1360	7.2152399787301	"correct"	2	2	2	2	3	2.25	-3	"L"	"L"	"L"	"no"
"t01"	15	"15 t01"	1	"D1"	"1"	20	"female"	"right"	"Other"	142	"t01_1_p2_2_mono.wav"	"la belette"	"yes"	"yes"	"match"	"u"	"yes"	930	1274	344	5	"yes"	7.14991683613211	3348	8.11611843160937	"correct"	6	4	3	3	3	3.25	-4	"L"	"L"	"L"	"no"
"t01"	20	"20 t01"	1	"A2"	"2"	21	"male"	"right"	"Other"	116	"t01_1_p2_2_mono.wav"	"la belette"	"yes"	"yes"	"mismatch"	"u"	"yes"	930	1200	270	5	"yes"	7.09007683577609	1225	7.11069612297883	"correct"	2	3	2	2	1	2	-2	"L"	"L"	"L"	"no"
"t01"	21	"21 t01"	1	"B1"	"1"	18	"female"	"right"	"Other"	23	"t01_1_p2_2_mono.wav"	"la belette"	"yes"	"yes"	"match"	"u"	"yes"	930	1172	242	5	"yes"	7.06646697013696	1273	7.14913159855741	"correct"	3	2	1	2	2	1.75	-5	"L"	"L"	"L"	"no"
"t01"	28	"28 t01"	1	"C2"	"2"	22	"female"	"right"	"Ferdy"	63	"t01_1_p2_2_mono.wav"	"la belette"	"yes"	"yes"	"mismatch"	"u"	"yes"	930	1323	393	5	"yes"	7.18765716411496	1677	7.42476176182321	"correct"	2	1	2	1	1	1.25	-8	"L"	"L"	"L"	"no"
"t01"	45	"45 t01"	1	"A2"	"1"	19	"male"	"right"	"Ilse"	116	"t01_1_p2_2_mono.wav"	"la belette"	"yes"	"yes"	"match"	"u"	"yes"	930	904	-26	5	"yes"	6.80682936039218	1004	6.91174730025167	"correct"	3	1	2	1	1	1.25	-6	"L"	"L"	"L"	"no"
