session	list	group	subject	age	sex	hand	assist	trial	file	stimulus	p_universal	is_target	is_word	targettype	red	is_schwa	duration	rt	rt_end	response	correctness
1	D2	2	16	19	female	right	Other	1	n76_0_p4_1_mono.wav	le tenre	NA	no	no	filler	NA	no	832.0	3436	2604	5	no
1	D2	2	16	19	female	right	Other	2	f33_0_p4_1_mono.wav	le rapport	NA	no	yes	filler	NA	no	872.0	2659	1787	1	no
1	D2	2	16	19	female	right	Other	3	n86_1_p3_1_mono.wav	le repire	NA	no	no	filler	u	yes	965.0	1412	447	5	no
1	D2	2	16	19	female	right	Other	4	n73_0_p1_1_mono.wav	le buveau	NA	no	no	filler	NA	no	615.0	1535	920	1	yes
1	D2	2	16	19	female	right	Other	5	n50_0_p2_1_mono.wav	la rille	NA	no	no	filler	NA	no	802.0	1752	950	5	no
1	D2	2	16	19	female	right	Other	6	n55_0_p3_1_mono.wav	le nourd	NA	no	no	filler	NA	no	876.0	1736	860	5	no
1	D2	2	16	19	female	right	Other	7	n44_0_p1_1_mono.wav	la fanouille	NA	no	no	filler	NA	no	852.0	1504	652	5	no
1	D2	2	16	19	female	right	Other	8	t03_2_p2_2_mono.wav	la m'notte		yes	yes	match	r	yes	889.0	1274	385	5	yes
1	D2	2	16	19	female	right	Other	9	n54_0_p1_1_mono.wav	le garfait	NA	no	no	filler	NA	no	936.0	1180	244	1	yes
1	D2	2	16	19	female	right	Other	10	f58_0_p1_1_mono.wav	le service	NA	no	yes	filler	NA	no	935.0	1452	517	5	yes
1	D2	2	16	19	female	right	Other	11	n45_0_p3_1_mono.wav	la horgune	NA	no	no	filler	NA	no	731.0	1625	894	1	yes
1	D2	2	16	19	female	right	Other	12	n29_0_p2_1_mono.wav	le choint	NA	no	no	filler	NA	no	721.0	1055	334	1	yes
1	D2	2	16	19	female	right	Other	13	f38_0_p3_1_mono.wav	l'hôtel	NA	no	yes	filler	NA	no	721.0	1219	498	5	yes
1	D2	2	16	19	female	right	Other	14	n33_0_p2_1_mono.wav	la juisse	NA	no	no	filler	NA	no	912.0	1508	596	1	yes
1	D2	2	16	19	female	right	Other	15	f66_2_p2_1_mono.wav	le d'main	NA	no	yes	filler	r	yes	671.0	1178	507	5	yes
1	D2	2	16	19	female	right	Other	16	n62_0_p4_1_mono.wav	l'hosor	NA	no	no	filler	NA	no	774.0	1319	545	5	no
1	D2	2	16	19	female	right	Other	17	t17_2_p4_2_mono.wav	la s'moule		yes	yes	match	r	yes	894.0	1318	424	1	no
1	D2	2	16	19	female	right	Other	18	n32_0_p1_1_mono.wav	l'heule	NA	no	no	filler	NA	no	678.0	1533	855	1	yes
1	D2	2	16	19	female	right	Other	19	n09_1_p3_1_mono.wav	le femmeil	NA	no	no	filler	u	yes	870.0	1228	358	5	no
1	D2	2	16	19	female	right	Other	20	n78_0_p1_1_mono.wav	le jourlingue	NA	no	no	filler	NA	no	993.0	1331	338	1	yes
1	D2	2	16	19	female	right	Other	21	f09_0_p2_1_mono.wav	la pièce	NA	no	yes	filler	NA	no	830.0	1721	891	1	no
1	D2	2	16	19	female	right	Other	22	n05_2_p3_1_mono.wav	le g'gnoble	NA	no	no	filler	r	yes	864.0	1087	223	5	no
1	D2	2	16	19	female	right	Other	23	n30_0_p2_1_mono.wav	le pien	NA	no	no	filler	NA	no	691.0	1221	530	5	no
1	D2	2	16	19	female	right	Other	24	t06_2_p2_2_mono.wav	le r'cel		yes	yes	match	r	yes	902.0	2015	1113	5	yes
1	D2	2	16	19	female	right	Other	25	n04_2_p4_1_mono.wav	la r'noise	NA	no	no	filler	r	yes	882.0	1183	301	1	yes
