set	Correct	Subject	group	Response.RESP
t02	la levrette	3	1	la luvrette
t02	la levrette	23	1	la levrette
t02	la levrette	11	1	la chevret
t02	la levrette	27	1	la levrette
t02	la levrette	17	1	la levrette
t02	la levrette	33	1	la levrette
t02	la levrette	7	1	la levrette
t02	la levrette	13	1	le
t02	la levrette	29	1	la levrette
t02	la levrette	42	1	la levrette
t02	la levrette	5	1	le heuvre{.}{.}{.}
t02	la levrette	35	1	le levrage
t02	la levrette	15	1	de trequin
t02	la levrette	21	1	Le repette
t02	la levrette	25	1	le rechien
t02	la levrette	41	1	la levette
t02	la levrette	9	1	la secout
t03	la menotte	11	1	la {?}
t03	la menotte	23	1	la moulette
t03	la menotte	27	1	le menand
t03	la menotte	21	1	Le m nog wat
t03	la menotte	7	1	la meneau
t03	la menotte	5	1	le menotte
t03	la menotte	17	1	la menotte
t03	la menotte	13	1	la menotte
t03	la menotte	3	1	le mounette
t03	la menotte	42	1	la menotte
t03	la menotte	9	1	le menotte
t03	la menotte	33	1	la menotte
t03	la menotte	25	1	le main
t03	la menotte	35	1	la menotte
t03	la menotte	15	1	le maneute
t03	la menotte	29	1	la menotte
t03	la menotte	41	1	la menotte
t05	le genievre	11	1	la jEnevresse
t05	le genievre	23	1	la {.}{.}
t05	le genievre	33	1	la genievre
t05	le genievre	42	1	la geniEvre
t05	le genievre	41	1	la geniEvre
t05	le genievre	17	1	le genievre
t05	le genievre	13	1	la chenevre
t05	le genievre	3	1	la je{.}{.}
t05	le genievre	21	1	le genievre
t05	le genievre	15	1	le genEvres
t05	le genievre	35	1	le geniEvre
t05	le genievre	5	1	le geniEvre
t05	le genievre	7	1	le jenevEvre
t05	le genievre	9	1	la geniEvre
t05	le genievre	29	1	la gEnievre
t05	le genievre	25	1	la jenievre
t05	le genievre	27	1	la genEvre
t06	le recel	17	1	le recure
t06	le recel	7	1	le secoulle
t06	le recel	27	1	le recel
t06	le recel	21	1	p
t06	le recel	15	1	le maneaute
t06	le recel	9	1	la relEure
t06	le recel	13	1	le 
t06	le recel	42	1	le recel
t06	le recel	23	1	la recul
t06	le recel	25	1	le recel
t06	le recel	11	1	le recel
t06	le recel	33	1	le rebond
t06	le recel	41	1	le rebous
t06	le recel	29	1	
t06	le recel	5	1	le rusel
t06	le recel	35	1	le recel
t06	le recel	3	1	le chamou
t09	le fenouil	33	1	la fenouil
t09	le fenouil	7	1	la fenouille
t09	le fenouil	41	1	le fequille
t09	le fenouil	17	1	le venille
t09	le fenouil	42	1	le venaille
t09	le fenouil	23	1	le fouloire
t09	le fenouil	9	1	la feriEre
t09	le fenouil	27	1	la fenouille
t09	le fenouil	25	1	le sepeau
t09	le fenouil	35	1	la fenouille
t09	le fenouil	13	1	la fenille
t09	le fenouil	3	1	le sem{.}{.}
t09	le fenouil	5	1	le fenouille
t09	le fenouil	11	1	le souille
t09	le fenouil	29	1	la fenouille
t09	le fenouil	15	1	le fenouche
t09	le fenouil	21	1	La chenElle
t10	le rebond	33	1	le rebond
t10	le rebond	9	1	la remout
t10	le rebond	17	1	le rebon
t10	le rebond	5	1	le rebond
t10	le rebond	13	1	le rebond
t10	le rebond	3	1	le recol
t10	le rebond	27	1	le sebouche
t10	le rebond	41	1	le rebous
t10	le rebond	7	1	le rebond
t10	le rebond	35	1	la recousse
t10	le rebond	11	1	le {?}
t10	le rebond	25	1	le rebond
t10	le rebond	23	1	pas
t10	le rebond	29	1	le rEbond
t10	le rebond	42	1	le rebond
t10	le rebond	15	1	le rebond
t10	le rebond	21	1	Geen idee
t11	le remous	7	1	la sebaille
t11	le remous	35	1	la remous
t11	le remous	23	1	pas
t11	le remous	25	1	la remoul
t11	le remous	9	1	la recol
t11	le remous	42	1	le semous
t11	le remous	33	1	le remous
t11	le remous	17	1	le remonde
t11	le remous	41	1	la remouse
t11	le remous	27	1	la rumouse
t11	le remous	15	1	le savrage
t11	le remous	5	1	le per{.}{.}{.}
t11	le remous	21	1	le {.}{.}{.}
t11	le remous	13	1	le secouse
t11	le remous	3	1	la chouvrette
t11	le remous	29	1	
t11	le remous	11	1	le savrage
t12	le requin	7	1	la menoui
t12	le requin	11	1	le requin
t12	le requin	41	1	le requin
t12	le requin	42	1	le requin
t12	le requin	3	1	le requin
t12	le requin	27	1	le requin
t12	le requin	13	1	le requine
t12	le requin	33	1	la requin
t12	le requin	35	1	le requin
t12	le requin	25	1	le sequin
t12	le requin	15	1	la requin
t12	le requin	9	1	la requil
t12	le requin	5	1	le requin
t12	le requin	29	1	le requin
t12	le requin	17	1	le requin
t12	le requin	23	1	le requin
t12	le requin	21	1	Le requin
t18	le reflet	25	1	le reflet
t18	le reflet	7	1	le reflet
t18	le reflet	42	1	le reflet
t18	le reflet	17	1	la reflet
t18	le reflet	23	1	le reflec
t18	le reflet	41	1	le reflex
t18	le reflet	21	1	Le reflex
t18	le reflet	13	1	le reflet
t18	le reflet	27	1	le reflex
t18	le reflet	3	1	la reflect
t18	le reflet	5	1	le reflet
t18	le reflet	11	1	le reflet
t18	le reflet	9	1	la reflet
t18	le reflet	29	1	le reflet
t18	le reflet	15	1	le reflet
t18	le reflet	35	1	le reflet
t18	le reflet	33	1	le reflet
t20	le meneau	9	1	le moulliEre
t20	le meneau	25	1	le sepeau
t20	le meneau	13	1	le 
t20	le meneau	23	1	pas
t20	le meneau	33	1	le menot
t20	le meneau	7	1	le menau
t20	le meneau	17	1	le meneau
t20	le meneau	3	1	le menou
t20	le meneau	42	1	le meneau
t20	le meneau	35	1	le meneau
t20	le meneau	29	1	le meneau
t20	le meneau	41	1	le menot
t20	le meneau	27	1	le menous
t20	le meneau	11	1	la mouvesse
t20	le meneau	15	1	le maneau
t20	le meneau	21	1	Geen idee
t20	le meneau	5	1	le menou
t21	le recul	23	1	le recul
t21	le recul	29	1	le recule
t21	le recul	27	1	le servrage
t21	le recul	17	1	le recuz
t21	le recul	41	1	le recuin
t21	le recul	15	1	le rebond
t21	le recul	7	1	le rebond
t21	le recul	42	1	le sevrage
t21	le recul	33	1	le recul
t21	le recul	21	1	Geen idee
t21	le recul	5	1	le rebond
t21	le recul	3	1	le recule
t21	le recul	9	1	la recul
t21	le recul	35	1	le recul
t21	le recul	13	1	le rebond
t21	le recul	25	1	le poivre
t21	le recul	11	1	le rebond
t22	le renard	9	1	le renart
t22	le renard	23	1	le renard
t22	le renard	11	1	le renard
t22	le renard	33	1	le renard
t22	le renard	3	1	le renard
t22	le renard	29	1	la renard
t22	le renard	25	1	le renard
t22	le renard	15	1	le requin
t22	le renard	13	1	le renard
t22	le renard	21	1	Le renard
t22	le renard	42	1	le renard
t22	le renard	17	1	le regard
t22	le renard	27	1	le reinard
t22	le renard	35	1	le renard
t22	le renard	5	1	le renard
t22	le renard	7	1	le renard
t22	le renard	41	1	le renart
t24	le faisan	17	1	la faisant
t24	le faisan	13	1	le faizant
t24	le faisan	21	1	Le fazant
t24	le faisan	29	1	le foisant
t24	le faisan	15	1	le fasant
t24	le faisan	11	1	le fEsant
t24	le faisan	9	1	la fazant
t24	le faisan	41	1	le fesant
t24	le faisan	25	1	le fasant
t24	le faisan	33	1	le faisan
t24	le faisan	27	1	le fazant
t24	le faisan	23	1	le faisant
t24	le faisan	7	1	le fezant
t24	le faisan	5	1	le fezan
t24	le faisan	42	1	la faisant
t24	le faisan	3	1	le fazant
t24	le faisan	35	1	le faisan
