set	Correct	Subject	group	Response.RESP
t02	la levrette	36	2	la levrette
t02	la levrette	34	2	le cheni
t02	la levrette	10	2	la frette
t02	la levrette	12	2	le fenette
t02	la levrette	8	2	le vrette
t02	la levrette	24	2	la levrette
t02	la levrette	18	2	la blette
t02	la levrette	14	2	le levrette
t02	la levrette	6	2	le farata
t02	la levrette	22	2	{?}
t02	la levrette	32	2	le lavette
t02	la levrette	2	2	la levrette
t02	la levrette	20	2	la levrette
t02	la levrette	16	2	la levrette
t02	la levrette	26	2	le chien
t02	la levrette	28	2	la levrette
t02	la levrette	30	2	la sevrege
t03	la menotte	22	2	la remoulle
t03	la menotte	32	2	le menotte
t03	la menotte	18	2	la manotte
t03	la menotte	30	2	geen idee
t03	la menotte	8	2	la mounette
t03	la menotte	14	2	le menot
t03	la menotte	10	2	le piret
t03	la menotte	28	2	le menotte
t03	la menotte	34	2	la menoit
t03	la menotte	16	2	la menotte
t03	la menotte	24	2	le menotte
t03	la menotte	36	2	la menotte
t03	la menotte	2	2	le menaris
t03	la menotte	6	2	la mamain
t03	la menotte	20	2	le manotte
t03	la menotte	12	2	le menOtte
t03	la menotte	26	2	la menotte
t05	le genievre	14	2	le jenievre
t05	le genievre	34	2	le jenEvre
t05	le genievre	2	2	la genevi{CAPSLOCK}E{CAPSLOCK}re
t05	le genievre	36	2	la jenebres
t05	le genievre	20	2	le genEvre
t05	le genievre	32	2	la genevrE
t05	le genievre	12	2	La genEvre
t05	le genievre	10	2	le jambes
t05	le genievre	16	2	le geniEvre
t05	le genievre	26	2	la genesse
t05	le genievre	18	2	le jenEvre
t05	le genievre	30	2	le genievrE
t05	le genievre	6	2	le guineverbe
t05	le genievre	24	2	la geniEvre
t05	le genievre	28	2	le geniEvre
t05	le genievre	22	2	{?}
t05	le genievre	8	2	la jenievre
t06	le recel	12	2	Le recUl
t06	le recel	30	2	l{'}escousse
t06	le recel	14	2	le recel
t06	le recel	28	2	le recel
t06	le recel	6	2	le recel
t06	le recel	16	2	le r
t06	le recel	8	2	le recuil
t06	le recel	24	2	la reveille
t06	le recel	32	2	le marmout
t06	le recel	22	2	{?}
t06	le recel	36	2	le recel
t06	le recel	2	2	le recil
t06	le recel	20	2	le recel
t06	le recel	34	2	le re
t06	le recel	18	2	le recel
t06	le recel	10	2	la parlet
t06	le recel	26	2	la payage
t09	le fenouil	2	2	el cherille
t09	le fenouil	22	2	la fenille
t09	le fenouil	20	2	le fenouie
t09	le fenouil	12	2	
t09	le fenouil	34	2	le fenile
t09	le fenouil	32	2	la veinet
t09	le fenouil	24	2	le fenuille
t09	le fenouil	14	2	la fenouille
t09	le fenouil	10	2	la pulon
t09	le fenouil	26	2	la venesse
t09	le fenouil	28	2	la fenouille
t09	le fenouil	18	2	le fnuille
t09	le fenouil	6	2	la fenokle
t09	le fenouil	30	2	la fenouille
t09	le fenouil	36	2	le remuse
t09	le fenouil	8	2	la venette
t09	le fenouil	16	2	le fenouille
t10	le rebond	22	2	{?}
t10	le rebond	20	2	le {(}geen idee{)}{)}
t10	le rebond	2	2	el retorre
t10	le rebond	32	2	le recu
t10	le rebond	18	2	le redecul
t10	le rebond	26	2	la rebond
t10	le rebond	34	2	le rebon
t10	le rebond	16	2	le re
t10	le rebond	12	2	e rebOnte
t10	le rebond	6	2	le rebond
t10	le rebond	14	2	le recul
t10	le rebond	36	2	la rebond
t10	le rebond	8	2	le requit
t10	le rebond	30	2	la re{.}{.}{.}{.}
t10	le rebond	28	2	le rebons
t10	le rebond	10	2	le rebont
t10	le rebond	24	2	le rebond
t11	le remous	18	2	la redance
t11	le remous	16	2	le
t11	le remous	32	2	le moulet
t11	le remous	6	2	la trotor
t11	le remous	34	2	la cous
t11	le remous	10	2	le tures
t11	le remous	36	2	la
t11	le remous	12	2	Le recEle
t11	le remous	24	2	le remoule
t11	le remous	20	2	geen idee
t11	le remous	30	2	geen idee
t11	le remous	14	2	le recel
t11	le remous	2	2	la semisse
t11	le remous	28	2	le recel
t11	le remous	22	2	{?}
t11	le remous	8	2	
t11	le remous	26	2	la rechute
t12	le requin	12	2	Le Requin
t12	le requin	2	2	le requin
t12	le requin	28	2	le recul
t12	le requin	22	2	{?}
t12	le requin	8	2	 la recuit
