set	Correct	Subject	group	Response.RESP
t01	la belette	9	1	la belette
t01	la belette	27	1	la bellouse
t01	la belette	23	1	pas
t01	la belette	33	1	la belette
t01	la belette	15	1	le semille
t01	la belette	13	1	la fenille
t01	la belette	42	1	la belette
t01	la belette	3	1	{?}
t01	la belette	7	1	la meneau
t01	la belette	29	1	la bedaine
t01	la belette	41	1	la belette
t01	la belette	25	1	la balette
t01	la belette	5	1	le be{.}{.}{.}
t01	la belette	21	1	La repette
t01	la belette	35	1	la belette
t01	la belette	11	1	la balette
t01	la belette	17	1	la belette
t02	la levrette	3	1	la luvrette
t02	la levrette	23	1	la levrette
t02	la levrette	11	1	la chevret
t02	la levrette	27	1	la levrette
t02	la levrette	17	1	la levrette
t02	la levrette	33	1	la levrette
t02	la levrette	7	1	la levrette
t02	la levrette	13	1	le
t02	la levrette	29	1	la levrette
t02	la levrette	42	1	la levrette
t02	la levrette	5	1	le heuvre{.}{.}{.}
t02	la levrette	35	1	le levrage
t02	la levrette	15	1	de trequin
t02	la levrette	21	1	Le repette
t02	la levrette	25	1	le rechien
t02	la levrette	41	1	la levette
t02	la levrette	9	1	la secout
t03	la menotte	11	1	la {?}
t03	la menotte	23	1	la moulette
t03	la menotte	27	1	le menand
t03	la menotte	21	1	Le m nog wat
t03	la menotte	7	1	la meneau
t03	la menotte	5	1	le menotte
t03	la menotte	17	1	la menotte
t03	la menotte	13	1	la menotte
t03	la menotte	3	1	le mounette
t03	la menotte	42	1	la menotte
t03	la menotte	9	1	le menotte
t03	la menotte	33	1	la menotte
t03	la menotte	25	1	le main
t03	la menotte	35	1	la menotte
t03	la menotte	15	1	le maneute
t03	la menotte	29	1	la menotte
t03	la menotte	41	1	la menotte
t05	le genievre	11	1	la jEnevresse
t05	le genievre	23	1	la {.}{.}
t05	le genievre	33	1	la genievre
t05	le genievre	42	1	la geniEvre
t05	le genievre	41	1	la geniEvre
t05	le genievre	17	1	le genievre
t05	le genievre	13	1	la chenevre
t05	le genievre	3	1	la je{.}{.}
t05	le genievre	21	1	le genievre
t05	le genievre	15	1	le genEvres
t05	le genievre	35	1	le geniEvre
t05	le genievre	5	1	le geniEvre
t05	le genievre	7	1	le jenevEvre
t05	le genievre	9	1	la geniEvre
t05	le genievre	29	1	la gEnievre
t05	le genievre	25	1	la jenievre
t05	le genievre	27	1	la genEvre
t06	le recel	17	1	le recure
t06	le recel	7	1	le secoulle
t06	le recel	27	1	le recel
t06	le recel	21	1	p
t06	le recel	15	1	le maneaute
t06	le recel	9	1	la relEure
t06	le recel	13	1	le 
t06	le recel	42	1	le recel
t06	le recel	23	1	la recul
t06	le recel	25	1	le recel
t06	le recel	11	1	le recel
t06	le recel	33	1	le rebond
t06	le recel	41	1	le rebous
t06	le recel	29	1	
t06	le recel	5	1	le rusel
t06	le recel	35	1	le recel
t06	le recel	3	1	le chamou
t08	la semelle	41	1	la semelle
t08	la semelle	9	1	la semaille
t08	la semelle	21	1	le zole du foot
t08	la semelle	35	1	la semelle
t08	la semelle	5	1	la m{.}{.}{.}
t08	la semelle	11	1	le {?}
t08	la semelle	17	1	le semille
t08	la semelle	3	1	la sevrette
t08	la semelle	23	1	la semoule
t08	la semelle	29	1	
t08	la semelle	27	1	la sersoulle
t08	la semelle	7	1	le secouvre
t08	la semelle	42	1	la semelle
t08	la semelle	15	1	le scheauve
t08	la semelle	13	1	le 
t08	la semelle	33	1	le semouille
t08	la semelle	25	1	la semelle
t09	le fenouil	33	1	la fenouil
t09	le fenouil	7	1	la fenouille
t09	le fenouil	41	1	le fequille
t09	le fenouil	17	1	le venille
t09	le fenouil	42	1	le venaille
t09	le fenouil	23	1	le fouloire
t09	le fenouil	9	1	la feriEre
t09	le fenouil	27	1	la fenouille
t09	le fenouil	25	1	le sepeau
t09	le fenouil	35	1	la fenouille
t09	le fenouil	13	1	la fenille
t09	le fenouil	3	1	le sem{.}{.}
t09	le fenouil	5	1	le fenouille
t09	le fenouil	11	1	le souille
t09	le fenouil	29	1	la fenouille
t09	le fenouil	15	1	le fenouche
t09	le fenouil	21	1	La chenElle
t10	le rebond	33	1	le rebond
t10	le rebond	9	1	la remout
t10	le rebond	17	1	le rebon
t10	le rebond	5	1	le rebond
t10	le rebond	13	1	le rebond
t10	le rebond	3	1	le recol
t10	le rebond	27	1	le sebouche
t10	le rebond	41	1	le rebous
t10	le rebond	7	1	le rebond
t10	le rebond	35	1	la recousse
t10	le rebond	11	1	le {?}
t10	le rebond	25	1	le rebond
t10	le rebond	23	1	pas
t10	le rebond	29	1	le rEbond
t10	le rebond	42	1	le rebond
t10	le rebond	15	1	le rebond
t10	le rebond	21	1	Geen idee
t11	le remous	7	1	la sebaille
t11	le remous	35	1	la remous
t11	le remous	23	1	pas
t11	le remous	25	1	la remoul
t11	le remous	9	1	la recol
t11	le remous	42	1	le semous
t11	le remous	33	1	le remous
t11	le remous	17	1	le remonde
t11	le remous	41	1	la remouse
t11	le remous	27	1	la rumouse
t11	le remous	15	1	le savrage
t11	le remous	5	1	le per{.}{.}{.}
t11	le remous	21	1	le {.}{.}{.}
t11	le remous	13	1	le secouse
t11	le remous	3	1	la chouvrette
t11	le remous	29	1	
t11	le remous	11	1	le savrage
t12	le requin	7	1	la menoui
t12	le requin	11	1	le requin
t12	le requin	41	1	le requin
t12	le requin	42	1	le requin
t12	le requin	3	1	le requin
t12	le requin	27	1	le requin
t12	le requin	13	1	le requine
t12	le requin	33	1	la requin
t12	le requin	35	1	le requin
t12	le requin	25	1	le sequin
t12	le requin	15	1	la requin
t12	le requin	9	1	la requil
t12	le requin	5	1	le requin
t12	le requin	29	1	le requin
t12	le requin	17	1	le requin
t12	le requin	23	1	le requin
t12	le requin	21	1	Le requin
t13	le sevrage	41	1	la revage
t13	le sevrage	25	1	le rebond
t13	le sevrage	35	1	la secousse
t13	le sevrage	13	1	la 
t13	le sevrage	7	1	la senoulle
