Subject	Age	Handedness	ResearcherID	SessionTime	Sex	Block	CorrectLeft	CorrectRight	Stimulus.CRESP	Stimulus.RESP	Stimulus.ACC	Stimulus.RT	Stimulus8
1	22	right	Other	15:23:43	female	1	1	5	5	5	1	2155	cheveux
1	22	right	Other	15:23:43	female	2	5	1	1	1	1	1226	soumon
1	22	right	Other	15:23:43	female	3	1	5	5	5	1	1485	cloche
1	22	right	Other	15:23:43	female	4	1	5	5	5	1	1560	fascine
1	22	right	Other	15:23:43	female	5	5	1	1	1	1	851	huif
1	22	right	Other	15:23:43	female	6	1	5	5	5	1	1230	semonce
1	22	right	Other	15:23:43	female	7	1	5	5	1	0	1189	canoter 
1	22	right	Other	15:23:43	female	8	1	5	5	5	1	744	infâme
1	22	right	Other	15:23:43	female	9	1	5	5	5	1	1145	fourmi
1	22	right	Other	15:23:43	female	10	1	5	5	1	0	1065	cadenas
1	22	right	Other	15:23:43	female	11	1	5	5	5	1	1679	racaille
1	22	right	Other	15:23:43	female	12	5	1	1	5	0	886	pourcine
1	22	right	Other	15:23:43	female	13	1	5	5	5	1	1866	œillet
1	22	right	Other	15:23:43	female	14	5	1	1	1	1	815	raplaner
1	22	right	Other	15:23:43	female	15	5	1	1	5	0	701	plaiser
1	22	right	Other	15:23:43	female	16	5	1	1	5	0	1209	cerveler
1	22	right	Other	15:23:43	female	17	5	1	1	5	0	993	endifier
1	22	right	Other	15:23:43	female	18	5	1	1	5	0	1479	jamain
1	22	right	Other	15:23:43	female	19	1	5	5	1	0	1179	ennemi
1	22	right	Other	15:23:43	female	20	1	5	5	5	1	729	pouce
1	22	right	Other	15:23:43	female	21	5	1	1	1	1	730	metter
1	22	right	Other	15:23:43	female	22	1	5	5	1	0	1350	fosse
1	22	right	Other	15:23:43	female	23	1	5	5	5	1	677	inciter
1	22	right	Other	15:23:43	female	24	1	5	5	5	1	701	salière
1	22	right	Other	15:23:43	female	25	1	5	5	5	1	707	fouet
1	22	right	Other	15:23:43	female	26	5	1	1	5	0	1011	cessure
1	22	right	Other	15:23:43	female	27	1	5	5	1	0	782	clouer
1	22	right	Other	15:23:43	female	28	1	5	5	1	0	1015	mappemonde
1	22	right	Other	15:23:43	female	29	5	1	1	5	0	1292	gloque
1	22	right	Other	15:23:43	female	30	1	5	5	5	1	744	lézard
1	22	right	Other	15:23:43	female	31	5	1	1	5	0	1422	sacher
1	22	right	Other	15:23:43	female	32	1	5	5	5	1	721	nouer
1	22	right	Other	15:23:43	female	33	1	5	5	5	1	1591	occire
1	22	right	Other	15:23:43	female	34	5	1	1	5	0	811	écouce
1	22	right	Other	15:23:43	female	35	5	1	1	1	1	951	osseaux
1	22	right	Other	15:23:43	female	36	5	1	1	1	1	1119	rejoute
1	22	right	Other	15:23:43	female	37	1	5	5	1	0	887	escroc
1	22	right	Other	15:23:43	female	38	1	5	5	5	1	1377	hache
1	22	right	Other	15:23:43	female	39	5	1	1	5	0	1498	parchance
1	22	right	Other	15:23:43	female	40	1	5	5	1	0	745	pinceau
1	22	right	Other	15:23:43	female	41	1	5	5	5	1	589	poisson
1	22	right	Other	15:23:43	female	42	1	5	5	1	0	842	robinet
1	22	right	Other	15:23:43	female	43	1	5	5	5	1	2548	amadouer
