pp	jaar	spreken	luisteren	lezen	schrijven	av_prof
1	3	1	2	2	1	1,5
2	3	2	2	3	2	2,25
3	3,5	2	2	3	2	2,25
4	3	2	2	3	3	2,5
5	2	2	2	2	3	2,25
6	3	1	2	2	1	1,5
7	3	1	1	1	1	1
8	3	2	2	2	1	1,75
9	3	4	3	4	2	3,25
10	3	3	1	2	3	2,25
11	3	1	2	2	1	1,5
12	2	2	2	1	1	1,5
13	3	3	3	4	2	3
14	3	2	1	2	2	1,75
15	6	4	3	3	3	3,25
16	5	1	2	1	1	1,25
17	3	2	1	2	2	1,75
18	3	2	3	4	3	3
19	3	1,94	2,09	2,54	1,8	2,0925
20	2	3	2	2	1	2
21	3	2	1	2	2	1,75
22	3	2	2	2	2	2
23	3	3	2	2	1	2
24	3	1	3	3	1	2
25	6	4	4	4	3	3,75
26	3	1	2	2	1	1,5
27	3	1	2	2	1	1,5
28	2	1	2	1	1	1,25
29	6	2	3	4	2	2,75
30	3	1	2	2	1	1,5
31	5	2	2	3	5	3
32	3	1	1	1	1	1
33	3	2	3	4	2	2,75
34	3	2	3	3	4	3
35	3	2	2	2	1	1,75
36	3	2	3	4	2	2,75
37	3	1	3	4	1	2,25
38	3	1	1	1	1	1
39	3	2	1	2	1	1,5
40	3	2	2	2	2	2
41	3	3	3	3	2	2,75
42	3	2	2	3	1	2
43	3	3	1	5	2	2,75
44	0	1	2	2	1	1,5
45	3	1	2	1	1	1,25
46	3	2	2	3	2	2,25
47	3	1	1	1	1	1
48	2	2	2	3	2	2,25
49	3	1	1	2	2	1,5
50	3	2	2	5	2	2,75
51	6	4	4	4	4	4
3001	3	4	4	3	2	3,25
3002	2	2	3	2	1	2
3003	2	1	1	1	1	1
3004	3	3	4	4	2	3,25
3005	3	1	1	2	1	1,25
3006	1	1	1	1	1	1
