"subject_oexp"	"Subject"	"Age"	"Handedness"	"ResearcherID"	"SessionTime"	"Sex"	"Block"	"CorrectLeft"	"CorrectRight"	"Stimulus.CRESP"	"Stimulus.RESP"	"Stimulus.ACC"	"Stimulus.RT"	"Stimulus8"	"oexperiment"	"spelling"	"group"
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	45	5	1	1	5	0	586	"retruire"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	44	1	5	5	1	0	1077	"peigne"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	12	5	1	1	5	0	757	"pourcine"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	46	1	5	5	5	1	479	"crayon"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	15	5	1	1	5	0	609	"plaiser"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	16	5	1	1	5	0	582	"cerveler"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	13	1	5	5	1	0	696	"œillet"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	43	1	5	5	1	0	776	"amadouer"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	47	5	1	1	5	0	778	"sentuelle"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	48	1	5	5	1	0	883	"alourdir"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	17	5	1	1	5	0	637	"endifier"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	18	5	1	1	5	0	568	"jamain"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	10	1	5	5	1	0	728	"cadenas"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	11	1	5	5	5	1	674	"racaille"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	24	1	5	5	5	1	653	"salière"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	25	1	5	5	5	1	576	"fouet"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	14	5	1	1	1	1	912	"raplaner"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	29	5	1	1	5	0	623	"gloque"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	30	1	5	5	5	1	661	"lézard"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	31	5	1	1	1	1	756	"sacher"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	32	1	5	5	1	0	1534	"nouer"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	33	1	5	5	5	1	1089	"occire"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	34	5	1	1	5	0	583	"écouce"	"1"	"-spelling"	1
"1001_1"	1001	21	"right"	"Other"	"11:07:56"	"female"	35	5	1	1	5	0	780	"osseaux"	"1"	"-spelling"	1
