"subject_oexp"	"pp"	"jaar"	"spreken"	"luisteren"	"lezen"	"schrijven"	"av_prof"	"oexperiment"	"spelling"	"group"
"1001_1"	1001	2	1	2	2	1	1.5	"1"	"-spelling"	1
"1005_1"	1005	2	1	1	3	1	1.5	"1"	"-spelling"	1
"1010_1"	1010	3	1	1	1	1	1	"1"	"-spelling"	1
"11_1"	11	3	4	2	3	4	3.25	"1"	"-spelling"	1
"15_1"	15	3	2	1	2	1	1.5	"1"	"-spelling"	1
"17_1"	17	3	2	3	4	1	2.5	"1"	"-spelling"	1
"19_1"	19	2	1	2	4	3	2.5	"1"	"-spelling"	1
"21_1"	21	2	1	3	1	1	1.5	"1"	"-spelling"	1
"23_1"	23	2	1	2	2	1	1.5	"1"	"-spelling"	1
"249_1"	249	3	3	3	3	3	3	"1"	"-spelling"	1
"25_1"	25	2	1	1	1	1	1	"1"	"-spelling"	1
"251_1"	251	3	1	1	2	1	1.25	"1"	"-spelling"	1
"253_1"	253	3	2	3	4	4	3.25	"1"	"-spelling"	1
"255_1"	255	3	2	2	2	2	2	"1"	"-spelling"	1
"27_1"	27	4	2	1	3	2	2	"1"	"-spelling"	1
"29_1"	29	3	2	2	4	3	2.75	"1"	"-spelling"	1
"31_1"	31	3	2	3	3	1	2.25	"1"	"-spelling"	1
"33_1"	33	6	3	3	4	2	3	"1"	"-spelling"	1
"38_1"	38	3	2	3	2	1	2	"1"	"-spelling"	1
"39_1"	39	2	2	2	2	2	2	"1"	"-spelling"	1
"41_1"	41	2	1	1	2	2	1.5	"1"	"-spelling"	1
"43_1"	43	3	1	1	2	1	1.25	"1"	"-spelling"	1
"45_1"	45	6	2	2	4	3	2.75	"1"	"-spelling"	1
"47_1"	47	5	3	3	4	2	3	"1"	"-spelling"	1
"5_1"	5	3	2	2	2	2	2	"1"	"-spelling"	1
"7_1"	7	3	1	1	2	1	1.25	"1"	"-spelling"	1
"9_1"	9	3	2	2	2	2	2	"1"	"-spelling"	1
"11_2"	11	3	1	1	2	1	1.25	"2"	"+spelling"	1
"13_2"	13	3	1	1	1	1	1	"2"	"+spelling"	1
"15_2"	15	3	3	3	3	2	2.75	"2"	"+spelling"	1
"151_2"	151	4	2	2	2	2	2	"2"	"+spelling"	1
"153_2"	153	3	1	3	3	1	2	"2"	"+spelling"	1
"155_2"	155	3	2	2	3	2	2.25	"2"	"+spelling"	1
"157_2"	157	2	2	2	1	1	1.5	"2"	"+spelling"	1
"17_2"	17	2	1	1	1	1	1	"2"	"+spelling"	1
"19_2"	19	3	3	4	3	3	3.25	"2"	"+spelling"	1
"2001_2"	2001	2	1	1	2	1	1.25	"2"	"+spelling"	1
"2003_2"	2003	3	3	3	3	2	2.75	"2"	"+spelling"	1
"2005_2"	2005	3	1	2	2	1	1.5	"2"	"+spelling"	1
"21_2"	21	3	1	1	1	1	1	"2"	"+spelling"	1
"23_2"	23	3	1	1	1	1	1	"2"	"+spelling"	1
"25_2"	25	3	3	3	3	2	2.75	"2"	"+spelling"	1
"27_2"	27	3	2	1	2	2	1.75	"2"	"+spelling"	1
"29_2"	29	3	1	1	2	2	1.5	"2"	"+spelling"	1
"3_2"	3	3	1	1	3	2	1.75	"2"	"+spelling"	1
"31_2"	31	3	4	3	4	3	3.5	"2"	"+spelling"	1
"33_2"	33	3	2	3	3	2	2.5	"2"	"+spelling"	1
"35_2"	35	3	3	1	3	2	2.25	"2"	"+spelling"	1
"37_2"	37	4	2	2	3	2	2.25	"2"	"+spelling"	1
"39_2"	39	4	2	3	3	1	2.25	"2"	"+spelling"	1
"41_2"	41	6	3	4	5	3	3.75	"2"	"+spelling"	1
"5_2"	5	2	2	3	3	2	2.5	"2"	"+spelling"	1
"7_2"	7	2.5	3	3	3	1	2.5	"2"	"+spelling"	1
"9_2"	9	2	2	3	3	1	2.25	"2"	"+spelling"	1
